t,R
0,3.59
5,3.79
10,3.95
15,4.18
20,4.39
25,4.57
30,4.72
35,4.87
40,5.01
45,5.13
50,5.22
55,5.32
60,5.43
65,5.53
70,5.62
75,5.7
80,5.76
85,5.83
90,5.9
95,5.97
100,6.03
105,6.09
110,6.15
115,6.21
120,6.27
125,6.32
130,6.37
135,6.42
140,6.47
145,6.51
150,6.55
155,6.6
160,6.64
165,6.68
170,6.73
175,6.77
180,6.82
185,6.86
190,6.9
195,6.93
200,6.96
205,7
210,7.04
215,7.08
220,7.11
225,7.14
230,7.16
235,7.18
240,7.2
245,7.22
250,7.24
255,7.26
260,7.27
265,7.29
270,7.3
275,7.31
280,7.32
285,7.33
290,7.33
295,7.34
300,7.35
305,7.36
310,7.38
315,7.39
320,7.4
325,7.41
330,7.41
335,7.42
340,7.43
345,7.44
350,7.44
355,7.45
360,7.46
365,7.47
370,7.47
375,7.47
380,7.47
385,7.48
390,7.48
395,7.48
400,7.48
405,7.48
410,7.49
415,7.49
420,7.5
425,7.5
430,7.5
435,7.5
440,7.5
445,7.5
450,7.5
455,7.5
460,7.5
465,7.5
470,7.51
475,7.5
480,7.5
485,7.5
490,7.5
495,7.5
500,7.5
505,7.5
510,7.5
515,7.5
520,7.5
525,7.5
530,7.5
535,7.5
540,7.49
545,7.5
550,7.53
555,7.54
560,7.54
565,7.55
570,7.56
575,7.56
580,7.57
585,7.57
590,7.57
595,7.58
600,7.58
605,7.58
610,7.59
615,7.61
620,7.63
625,7.64
630,7.66
635,7.67
640,7.68
645,7.68
650,7.69
655,7.69
660,7.7
665,7.7
670,7.7
675,7.7
680,7.71
685,7.74
690,7.77
695,7.79
700,7.81
705,7.83
710,7.85
715,7.5
720,7.3
725,7.16
730,7.09
735,7.05
740,7.03
745,7.03
750,7.02
755,7.02
