t,R
0,3.99
5,4.22
10,4.49
15,4.73
20,5.05
25,5.21
30,5.37
35,5.54
40,5.67
45,5.8
50,5.93
55,6.08
60,6.17
65,6.27
70,6.37
75,6.48
80,6.6
85,6.66
90,6.73
95,6.8
100,6.9
105,6.97
110,7.04
115,7.1
120,7.17
125,7.23
130,7.3
135,7.36
140,7.41
145,7.46
150,7.5
155,7.55
160,7.59
165,7.63
170,7.67
175,7.7
180,7.73
185,7.76
190,7.79
195,7.82
200,7.84
205,7.87
210,7.88
215,7.91
220,7.93
225,7.94
230,7.96
235,7.97
240,7.99
245,8
250,8.01
255,8.02
260,8.04
265,8.05
270,8.06
275,8.07
280,8.08
285,8.11
290,8.12
295,8.13
300,8.14
305,8.17
310,8.18
315,8.19
320,8.21
325,8.22
330,8.23
335,8.24
340,8.25
345,8.26
350,8.27
355,8.28
360,8.28
365,8.29
370,7.93
375,7.48
380,7.24
385,7.13
390,7.08
395,7.06
400,7.05
405,7.04
410,7.04
415,7.03
420,7.03
425,7.03
430,7.03
