n,T1,err_T1,T2,err_T2
1.000000000000000000e+00,1.816000000000000059e+00,1.559718764051919344e-02,2.249249999999999972e+00,9.659133893292344911e-03
3.000000000000000000e+00,1.804249999999999909e+00,7.748134856940184882e-03,1.915499999999999980e+00,1.163315758650331627e-02
4.000000000000000000e+00,1.798000000000000043e+00,1.544258996566823250e-02,1.820999999999999952e+00,1.564013143908890568e-02
5.000000000000000000e+00,1.792999999999999927e+00,1.539964616709852026e-02,1.760999999999999899e+00,1.512480585625236573e-02
7.000000000000000000e+00,1.782000000000000028e+00,1.530516981024515610e-02,1.683999999999999941e+00,1.446347135827880971e-02
9.000000000000000000e+00,1.772999999999999909e+00,1.522787097281967303e-02,1.649000000000000021e+00,1.416286476829083096e-02
1.100000000000000000e+01,1.766999999999999904e+00,1.517633841453601938e-02,1.649000000000000021e+00,1.416286476829083096e-02
1.300000000000000000e+01,1.766000000000000014e+00,1.516774965482207797e-02,1.651000000000000023e+00,1.418004228771871551e-02
1.500000000000000000e+01,1.764999999999999902e+00,1.515916089510813483e-02,1.669999999999999929e+00,1.434322872228361787e-02
1.700000000000000000e+01,1.772000000000000020e+00,1.521928221310573336e-02,1.711000000000000076e+00,1.469536787055525373e-02
1.900000000000000000e+01,1.780000000000000027e+00,1.528799229081727155e-02,1.747000000000000108e+00,1.500456322025717562e-02
2.000000000000000000e+01,1.784000000000000030e+00,1.532234732967304065e-02,1.764999999999999902e+00,1.515916089510813483e-02
2.100000000000000000e+01,1.788999999999999924e+00,1.536529112824275116e-02,1.782999999999999918e+00,1.531375856995909751e-02
2.200000000000000000e+01,1.796999999999999931e+00,1.543400120595428936e-02,1.802999999999999936e+00,1.548553376423794301e-02
2.300000000000000000e+01,1.806000000000000050e+00,1.551130004337977070e-02,1.826000000000000068e+00,1.568307523765861619e-02
2.500000000000000000e+01,1.828000000000000069e+00,1.570025275708650248e-02,1.866999999999999993e+00,1.603521438593024859e-02
