V,p_auf,p_ab
4.00,16.00,16.25
3.90,16.50,16.50
3.80,17.00,17.00
3.70,17.50,17.50
3.60,17.75,18.00
3.50,18.25,18.25
3.40,18.50,18.75
3.30,19.00,19.25
3.20,19.75,19.25
3.10,20.25,20.25
3.00,20.75,21.00
2.90,21.25,21.50
2.80,22.00,22.00
2.70,22.50,22.50
2.60,23.00,23.25
2.50,24.00,24.00
2.40,24.50,24.50
2.30,25.50,25.50
2.20,26.00,26.00
2.10,27.00,27.00
2.00,27.75,28.00
1.90,28.75,28.75
1.80,30.00,29.75
1.70,30.75,30.75
1.60,32.00,32.00
1.50,33.00,33.00
1.40,34.00,34.00
1.30,35.25,35.00
1.20,36.25,36.00
1.10,37.25,37.00
1.00,38.25,38.00
0.90,39.00,38.75
0.80,40.00,39.75
0.70,41.00,40.00
0.60,42.00,40.50
0.50,43.00,43.00
