V_m,p
1.592140880373844603e+00,1.369999999999999929e+01
1.492632075350479592e+00,1.455000000000000071e+01
1.393123270327114138e+00,1.550000000000000000e+01
1.293614465303748906e+00,1.650000000000000000e+01
1.194105660280383452e+00,1.769999999999999929e+01
1.094596855257018220e+00,1.910000000000000142e+01
9.950880502336528766e-01,2.044999999999999929e+01
8.955792452102876444e-01,2.200000000000000000e+01
7.960704401869223013e-01,2.375000000000000000e+01
6.965616351635570691e-01,2.560000000000000142e+01
5.970528301401917259e-01,2.769999999999999929e+01
5.572493081308456109e-01,2.825000000000000000e+01
5.174457861214994958e-01,2.864999999999999858e+01
4.776422641121533808e-01,2.885000000000000142e+01
4.378387421028073212e-01,2.894999999999999929e+01
3.980352200934611506e-01,2.914999999999999858e+01
3.582316980841150911e-01,2.920000000000000284e+01
3.184281760747689760e-01,2.920000000000000284e+01
2.786246540654228054e-01,2.925000000000000000e+01
2.388211320560766904e-01,2.944999999999999929e+01
1.990176100467305753e-01,3.025000000000000000e+01
1.592140880373844880e-01,3.130000000000000071e+01
1.194105660280383452e-01,4.500000000000000000e+01
