V_m,p
1.418557648421975070e+00,1.600000000000000000e+01
1.383093707211425771e+00,1.600000000000000000e+01
1.347629766000876250e+00,1.650000000000000000e+01
1.312165824790326951e+00,1.700000000000000000e+01
1.276701883579777652e+00,1.750000000000000000e+01
1.241237942369228353e+00,1.800000000000000000e+01
1.205774001158678610e+00,1.800000000000000000e+01
1.170310059948129311e+00,1.850000000000000000e+01
1.134846118737580234e+00,1.900000000000000000e+01
1.099382177527030713e+00,1.950000000000000000e+01
1.063918236316481192e+00,2.000000000000000000e+01
1.028454295105931893e+00,2.050000000000000000e+01
9.929903538953824826e-01,2.125000000000000000e+01
9.575264126848331836e-01,2.200000000000000000e+01
9.220624714742838846e-01,2.250000000000000000e+01
8.865985302637343635e-01,2.300000000000000000e+01
8.511345890531849534e-01,2.400000000000000000e+01
8.156706478426356544e-01,2.450000000000000000e+01
7.802067066320863553e-01,2.500000000000000000e+01
7.447427654215369452e-01,2.600000000000000000e+01
7.092788242109875352e-01,2.700000000000000000e+01
6.738148830004381251e-01,2.800000000000000000e+01
6.383509417898888261e-01,2.875000000000000000e+01
6.028870005793393050e-01,2.975000000000000000e+01
5.674230593687901170e-01,3.075000000000000000e+01
5.319591181582405959e-01,3.175000000000000000e+01
4.964951769476912413e-01,3.275000000000000000e+01
4.610312357371419423e-01,3.375000000000000000e+01
4.255672945265924767e-01,3.500000000000000000e+01
3.901033533160431777e-01,3.575000000000000000e+01
3.546394121054937676e-01,3.650000000000000000e+01
3.191754708949444130e-01,3.725000000000000000e+01
2.837115296843950585e-01,3.800000000000000000e+01
2.482475884738456207e-01,3.825000000000000000e+01
2.127836472632962383e-01,3.875000000000000000e+01
1.773197060527468838e-01,3.975000000000000000e+01
1.418557648421975292e-01,4.500000000000000000e+01
